id,harv
0,0.60
1,1.20
2,1.20
3,1.20
4,1.20
5,1.20
6,1.20
7,1.20
8,1.20
9,1.20
10,0.60
11,1.20
12,1.20
13,51.00
14,415.80
15,894.00
16,4759.80
17,4416.60
18,4918.20
19,1690.20
20,1549.80
21,3079.80
22,3667.20
23,3074.40
24,4637.40
25,2642.40
26,6252.60
27,3547.80
28,4646.40
29,4468.80
30,3772.80
31,2858.40
32,2170.20
33,2005.80
34,1653.00
35,1641.00
36,1645.20
37,1647.00
38,1626.00
39,1642.20
40,1642.20
41,1648.20
42,1644.00
43,1.20
44,1.20
45,1.20
46,0.60
47,0.60
48,0.60
49,1.20
50,1.20
51,1.20
52,1.20
53,1.20
54,0.60
55,1.20
56,0.60
57,1.20
58,0.60
59,1.20
60,1.20
61,60.00
62,418.80
63,919.80
64,3514.20
65,5291.40
66,4761.00
67,2367.00
68,2268.00
69,2645.40
70,2371.80
71,2929.20
72,2464.20
73,3063.00
74,2847.00
75,3112.20
76,3591.60
77,3655.20
78,4512.00
79,3382.80
80,1261.20
81,274.20
82,12.00
83,0.60
84,1.20
85,1.20
86,1.20
87,1.20
88,1.20
89,1.20
90,0.60
91,0.60
92,1.20
93,0.60
94,1.20
95,1.20
96,0.60
97,0.60
98,0.60
99,1.20
100,1.20
101,1.20
102,1.20
103,0.60
104,1.20
105,0.60
106,1.20
107,0.60
108,1.20
109,42.60
110,341.40
111,784.20
112,3173.40
113,6207.00
114,4012.80
115,1736.40
116,1558.80
117,1624.20
118,1936.80
119,4107.00
120,4404.60
121,2913.60
122,2837.40
123,2983.80
124,3534.00
125,3629.40
126,6256.80
127,5104.20
128,2682.00
129,1917.00
130,1656.60
131,1652.40
132,1642.80
133,1648.20
134,1632.00
135,1643.40
136,1635.60
137,1627.20
138,1636.80
139,1639.20
140,1635.60
141,1644.60
142,1646.40
143,1653.00
144,1649.40
145,1654.80
146,1652.40
147,1654.20
148,1654.80
149,0.60
150,1.20
151,0.60
152,0.60
153,0.60
154,1.20
155,1.20
156,1.20
157,42.00
158,342.00
159,794.40
160,3511.80
161,5736.00
162,3545.40
163,1594.20
164,1503.60
165,1559.40
166,1996.80
167,2389.80
168,3013.20
169,5345.40
170,4866.60
171,4905.00
172,4813.20
173,4225.80
174,5002.80
175,3463.80
176,2317.80
177,1799.40
178,1642.20
179,1636.20
180,1639.80
181,1640.40
182,1642.20
183,0.60
184,1.20
185,1.20
186,0.60
187,1.20
188,1650.60
189,1648.20
190,1648.80
191,1660.20
192,1665.60
193,1664.40
194,1666.20
195,0.60
196,0.60
197,0.60
198,0.60
199,0.60
200,1.20
201,0.60
202,0.60
203,0.60
204,0.60
205,15.60
206,227.40
207,586.80
208,1189.20
209,1627.80
210,2035.80
211,2166.60
212,3438.60
213,3357.00
214,3592.80
215,3359.40
216,4989.00
217,5745.60
218,4720.20
219,4171.20
220,3199.20
221,2974.20
222,3192.00
223,2590.80
224,2202.00
225,1800.60
226,1639.80
227,1636.20
228,1647.60
229,1374.60
230,1488.00
231,1.80
232,1644.60
233,1.20
234,0.60
235,1633.20
236,1636.80
237,1640.40
238,1639.80
239,1645.80
240,1643.40
241,1644.00
242,1648.80
243,1.20
244,1.20
245,1.20
246,1.20
247,1.20
248,1.20
249,1.20
250,1.20
251,1.20
252,1.20
253,9.60
254,201.00
255,583.20
256,704.40
257,1250.40
258,4230.00
259,4228.20
260,4311.60
261,4575.60
262,4515.00
263,4878.60
264,5416.20
265,5304.00
266,3726.60
267,5124.00
268,4345.80
269,3917.40
270,3475.20
271,2808.00
272,2282.40
273,1762.80
274,1647.00
275,1660.80
276,1667.40
277,1656.00
278,1660.80
279,1664.40
280,1654.80
281,1655.40
282,1659.60
283,1662.60
284,1654.20
285,1662.00
286,1654.80
287,1659.60
288,1.80
289,1.80
290,1.80
291,1.80
292,1.80
293,1.80
294,1.80
295,1.80
296,1.80
297,1.80
298,1.80
299,1.80
300,1.20
301,7.80
302,118.80
303,324.60
304,501.60
305,1029.00
306,3157.80
307,3010.80
308,2984.40
309,2838.00
310,3429.60
311,4217.40
312,3990.60
313,3960.00
314,3321.00
315,3790.20
316,3438.60
317,3280.20
318,2854.20
319,2682.00
320,2075.40
321,1734.60
322,1652.40
323,1649.40
324,1667.40
325,1666.80
326,1674.60
327,1669.80
328,1672.20
329,1645.80
330,1648.80
331,1635.60
332,1642.20
333,1642.80
334,1.20
335,1.20
336,1.20
337,1.20
338,1.20
339,1.20
340,1.20
341,1.20
342,1.20
343,1.20
344,1.20
345,1.20
346,1.20
347,1.20
348,1.20
349,3.00
350,89.40
351,172.20
352,706.80
353,1054.80
354,1191.00
355,1184.40
356,2110.80
357,1092.00
358,1407.60
359,3041.40
360,3125.40
361,3543.00
362,3125.40
363,2996.40
364,3185.40
365,2640.00
366,2244.00
367,2024.40
368,1738.80
369,1672.80
370,1.80
371,1.20
372,1.20
373,1.20
374,1.20
375,0.60
376,1652.40
377,1645.80
378,1.20
379,0.60
380,1623.60
381,1.20
382,1.20
383,0.60
384,1.20
385,0.60
386,0.60
387,1.20
388,0.60
389,0.60
390,0.60
391,1.20
392,1.20
393,0.60
394,0.60
395,0.60
396,1.20
397,1.80
398,30.00
399,159.00
400,294.60
401,988.80
402,792.00
403,1099.80
404,288.00
405,1013.40
406,865.20
407,919.80
408,784.80
409,2173.20
410,1095.60
411,1231.20
412,1433.40
413,1256.40
414,964.20
415,319.20
416,244.20
417,30.60
418,1.80
419,1.20
420,1.20
421,1.20
422,1.20
423,1.20
424,1.20
425,1.20
426,1.20
427,1.20
428,1.20
429,1.20
430,1.20
431,1.20
432,1.20
433,1.20
434,1.20
435,1.20
436,1.20
437,0.60
438,1.20
439,1.20
440,1.20
441,1.20
442,1.20
443,1.20
444,1.20
445,21.00
446,305.40
447,686.40
448,942.00
449,1867.80
450,2128.20
451,2574.00
452,3431.40
453,3193.80
454,4248.60
455,5371.80
456,4506.00
457,4857.00
458,5409.60
459,4504.80
460,4525.80
461,5595.00
462,6355.20
463,4512.60
464,2470.20
465,1783.20
466,1649.40
467,1654.80
468,1654.80
469,1642.20
470,1651.20
471,1649.40
472,1647.60
473,1647.60
474,1.20
475,1648.80
476,1651.80
477,1643.40
478,1.20
479,0.60
480,0.60
481,0.60
482,0.60
483,1.20
484,0.60
485,0.60
486,0.60
487,0.60
488,1.20
489,0.60
490,0.60
491,0.60
492,0.60
493,11.40
494,216.00
495,697.80
496,3201.00
497,6339.00
498,5197.20
499,1611.60
500,1371.00
501,3055.80
502,3385.80
503,4579.80
504,5181.00
505,5675.40
506,2565.60
507,2481.00
508,4908.00
509,4983.00
510,8598.00
511,3942.60
512,2133.00
513,1780.80
514,1645.80
515,1645.20
516,1655.40
517,1653.60
518,0.60
519,1.20
520,1647.00
521,1649.40
522,1652.40
523,1654.80
524,1662.60
525,1652.40
526,1667.40
527,0.60
528,1.20
529,1.20
530,1.80
531,1.20
532,0.60
533,1.20
534,1.20
535,1.20
536,1.20
537,1.20
538,0.60
539,1.20
540,0.60
541,9.60
542,183.00
543,458.40
544,821.40
545,8591.40
546,10303.80
547,3391.80
548,3807.60
549,3657.00
550,2459.40
551,2351.40
552,2770.80
553,2779.80
554,4495.20
555,4576.80
556,5779.80
557,5845.80
558,7791.00
559,5173.20